Batchsize,16,1,8,1
Throughput,71.00522596,30.89197458,127.4711846,90.32315083
Latency,225.3511661,32.37184444,62.76710147,11.07233613
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,1,8,8
Throughput,70.14360113,30.26950985,125.8525979,305.6324314
Latency,228.1191261,33.03752165,63.57424681,26.18305229
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,1,8,16
Throughput,69.96719875,30.14331485,125.5214485,370.0561358
Latency,228.6942242,33.17582915,63.74194709,43.25232271
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,1,16,1
Throughput,71.08317095,30.95949084,124.9007144,90.43814892
Latency,225.1040784,32.30125025,128.1173885,11.05825817
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,1,16,8
Throughput,70.22091093,30.33531635,123.2940936,306.0948501
Latency,227.8679953,32.96585537,129.786657,26.14350927
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,1,16,16
Throughput,70.04437882,30.20877737,122.965461,370.6418442
Latency,228.4422492,33.10393915,130.1334778,43.18399776
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,1,1
Throughput,71.31534467,61.26130082,44.61789563,90.81462857
Latency,224.3712821,130.5959706,22.41350915,11.01241929
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,1,8
Throughput,70.45039234,59.98963829,44.0791855,307.7385697
Latency,227.125801,133.364183,22.68742206,26.00391108
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,1,16
Throughput,70.2733106,59.73202571,43.96888799,372.7631904
Latency,227.698096,133.939323,22.74433181,42.93833232
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,8,1
Throughput,70.58949178,59.98740609,126.693914,89.74357697
Latency,226.6782713,133.3691453,63.15213136,11.14383618
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,8,8
Throughput,69.7304575,58.74939059,125.0810134,303.4307018
Latency,229.4706088,136.1794449,63.96636766,26.37298293
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,8,16
Throughput,69.5545845,58.49854065,124.7510247,367.3063076
Latency,230.0507996,136.7633679,64.13554938,43.57601292
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,16,1
Throughput,70.66714398,60.12238132,124.1302563,89.85799168
Latency,226.4292043,133.0697481,128.9124971,11.12964816
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
