,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,10,8,77.40404109,207,9.053366578,0.1325,,densenet201,50,8,31.20573293,500,0.563717209,0.0184,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.414,,312949893.7,284231323.7,597181217.4,1.265809432,578770087,208260975.8,787031062.8,289585852.7,116429538.6,406015391.3,,
resnet50,10,8,83.44845356,312,15.09777905,0.2209,,densenet201,50,16,51.15452206,500,1.902705014,0.0386,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.624,,213581532.1,422388666.7,635970198.7,0.538198326,616975644.2,312864104.2,929839748.4,428825557.7,228916697.1,657742254.8,,
resnet50,10,8,89.35100858,500,21.00033407,0.3072,,densenet201,50,32,89.91019096,493,4.604364701,0.054,,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,,1.014198783,,189360467.8,561201886.2,750562354,0.248759374,726156412.7,367215595.5,1093372008,566656481.6,307162811.9,873819293.5,,
resnet50,10,8,71.55510684,167,3.204432333,0.0469,,densenet201,75,1,23.29853011,500,-1.549882247,-0.0624,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.334,,68812598.8,45019952.1,113832550.9,1.809901854,109194592.8,36515541.92,145710134.7,48174670.66,4568470.06,52743140.72,,
resnet50,10,8,81.10044189,176,12.74976738,0.1865,,densenet201,75,8,27.71845371,500,2.110277729,0.0824,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.352,,374923911.9,322254511.4,697178423.3,1.527764937,677208386.4,244830781.3,922039167.6,327034880.7,137761494.3,464796375,,
resnet50,10,8,94.28390074,231,25.93322623,0.3794,,densenet201,75,16,42.75050139,500,1.508234699,0.0366,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.462,,277750478.4,564913731.6,842664210,0.713441374,819999088.7,422345651.5,1242344740,571313227.3,307915264.1,879228491.3,,
resnet50,10,8,105.4756286,362,37.12495404,0.5432,,densenet201,75,32,75.36588196,500,1.658404918,0.0225,,197524682,560578408,758103090,0.260551216,734408067,372164778,1106572845,564974396,310907186,875881582,,0.724,,272824146.4,774279569.1,1047103715,0.35987737,1014375783,514039748.6,1528415532,780351375.7,429429814.9,1209781191,,
resnet50,10,8,71.3809543,181,3.03027979,0.0443,,densenet201,90,1,25.16112729,500,0.755094299,0.0309,,,0.362,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,82.33179316,174,13.98111865,0.2045,,densenet201,90,8,27.77645358,500,2.470330399,0.0976,,,0.348,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,99.9477337,213,31.59705919,0.4623,,densenet201,90,16,41.66706384,500,2.437803315,0.0621,,,0.426,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,113.8742918,326,45.52361734,0.666,,densenet201,90,32,73.20714996,500,4.551660463,0.0663,,,0.652,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,110.6373858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,113.1784239,174,2.541038071,0.023,,densenet201,10,1,38.55945441,500,2.074336687,0.0569,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.348,,65190293.1,43192344.83,108382637.9,1.728398866,103708827.6,35076206.9,138785034.5,51477979.89,5026979.885,56504959.77,,
resnet50,10,16,114.424818,500,3.787432193,0.0342,,densenet201,10,8,126.7085653,449,7.783622736,0.0654,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,1.113585746,,103456835.2,118315374,221772209.2,0.418917403,212692796.1,77524931.78,290217727.9,127753584.8,46424707.91,174178292.7,,
