,,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
vgg19,10,8,178.6414193,500,5.713064012,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,8,180.2883308,61,7.359975529,0.0426,,densenet201,75,1,24.40847042,500,-0.439941943,-0.0177,,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.122,,188388590.2,123251344.3,311639934.4,4.954977207,298942573.8,99968778.69,398911352.5,131888032.8,12507122.95,144395155.7,,
vgg19,10,8,199.4076502,63,26.47929488,0.1531,,densenet201,75,8,27.67212842,500,2.063952438,0.0806,,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.126,,1047406484,900266571.4,1947673056,4.268041728,1891883746,683971706.3,2575855452,913621254,384857507.9,1298478762,,
vgg19,10,8,226.1815411,88,53.2531858,0.3079,,densenet201,75,16,42.76604104,500,1.523774349,0.0369,,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.176,,729095005.7,1482898545,2211993551,1.872783606,2152497608,1108657335,3261154943,1499697222,808277568.2,2307974790,,
vgg19,10,8,177.863467,500,4.935111741,0.0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,8,180.1734837,68,7.24512838,0.0419,,densenet201,90,1,26.80094555,500,2.394912555,0.0981,,,,0.136,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,8,201.7787554,62,28.85040013,0.1668,,densenet201,90,8,27.83085977,500,2.524736592,0.0998,,,,0.124,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,8,238.5697372,80,65.64138194,0.3796,,densenet201,90,16,41.62169615,500,2.392435632,0.061,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,8,177.8334689,500,4.905113633,0.0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,origin,,208.9459752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,215.1719272,83,6.225952011,0.0298,,densenet201,10,1,38.55153586,500,2.066418138,0.0566,,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.166,,136663988,90547807.23,227211795.2,3.623390393,217413686.7,73533253.01,290946939.8,107917692.8,10538487.95,118456180.7,,
vgg19,10,16,215.6590216,288,6.713046389,0.0321,,densenet201,10,8,126.9099412,500,7.984998593,0.0671,,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,0.576,,200013987.8,228740128.5,428754116.3,0.809896613,411200809,149879616.3,561080425.3,246987102.4,89753286.46,336740388.9,,
vgg19,10,16,216.3529033,455,7.406928095,0.0354,,densenet201,10,16,199.651606,500,12.66645482,0.0677,,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,0.91,,151308891.2,283330070.3,434638961.5,0.382555458,420299276.9,214875660.4,635174937.4,299677931.9,161326423.1,461004354.9,,
vgg19,10,16,214.1274957,500,5.181520467,0.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,215.7020186,53,6.756043394,0.0323,,densenet201,25,1,25.66382005,500,-0.048205187,-0.0019,,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.106,,222068481.1,141801283,363869764.2,5.757515126,349197330.2,115172179.2,464369509.4,155605084.9,16292867.92,171897952.8,,
vgg19,10,16,219.0550688,112,10.10909363,0.0484,,densenet201,25,8,51.71740743,500,2.780754903,0.0568,,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.224,,547311812.5,555009553.6,1102321366,2.216555336,1062106777,384938633.9,1447045411,572056111.6,221791696.4,793847808,,
vgg19,10,16,221.9967529,187,13.0507777,0.0625,,densenet201,25,16,85.89195461,500,4.137336225,0.0506,,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,0.374,,351228184.5,709527641.7,1060755826,0.88532419,1027542142,521773307.5,1549315449,727546385,386487502.7,1114033888,,
vgg19,10,16,214.1092547,500,5.16327953,0.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,216.2357905,47,7.289815296,0.0349,,densenet201,50,1,23.27530089,500,-1.706706772,-0.0683,,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.094,,251256340.4,160062255.3,411318595.7,6.498465713,394348553.2,129805329.8,524153883,171541808.5,12891127.66,184432936.2,,
vgg19,10,16,229.8682719,61,20.92229667,0.1001,,densenet201,50,8,31.32248082,500,0.680465104,0.0222,,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.122,,1061977508,964522688.5,2026500197,4.29545168,1964023082,706721672.1,2670744754,982692975.4,395096959,1377789934,,
vgg19,10,16,245.0259928,99,36.08001761,0.1727,,densenet201,50,16,51.69182019,500,2.44000314,0.0495,,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.198,,673105434.3,1331164283,2004269717,1.696140178,1944408091,985995964.6,2930404056,1351450242,721434439.4,2072884682,,
vgg19,10,16,214.0548454,500,5.108870167,0.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
